workload_type,engine,ad_mode,M,instance_type,machine_family,vcpu_count,mean_runtime_ms,throughput_paths_per_sec,cost_per_run,paths_per_dollar,region,zone
european,cpp,none,50000,c2d-standard-4,c2d,4,0.4995526000016071,100089560.13808985,2.4977630000080358e-05,,europe-west1,europe-west1-b
european,cpp,none,100000,c2d-standard-4,c2d,4,1.015005400003588,98521643.3327808,0.0001015005400003588,,europe-west1,europe-west1-b
european,rust,none,10000,c2d-standard-4,c2d,4,0.43045540000150595,23231210.4807258,4.30455400001506e-06,,europe-west1,europe-west1-b
european,rust,none,50000,c2d-standard-4,c2d,4,0.2573135999995202,194315419.00658664,1.286567999997601e-05,,europe-west1,europe-west1-b
european,rust,none,100000,c2d-standard-4,c2d,4,0.4285812000034639,233328013.45274076,4.2858120000346386e-05,,europe-west1,europe-west1-b
european_local_vol,cpu,none,10000,c2d-standard-4,c2d,4,93.7089157999992,106713.43185042041,0.000937089157999992,,europe-west1,europe-west1-b
european_local_vol,cpu,none,50000,c2d-standard-4,c2d,4,547.7935179999946,91275.26770041205,0.02738967589999973,,europe-west1,europe-west1-b
european_local_vol,cpu,none,100000,c2d-standard-4,c2d,4,989.0713619999957,101104.93928141905,0.09890713619999957,,europe-west1,europe-west1-b
european_local_vol,jax,none,10000,c2d-standard-4,c2d,4,76.66052639999634,130445.2300238898,0.0007666052639999634,,europe-west1,europe-west1-b
european_local_vol,jax,none,50000,c2d-standard-4,c2d,4,277.08741479999617,180448.46979459672,0.01385437073999981,,europe-west1,europe-west1-b
european_local_vol,jax,none,100000,c2d-standard-4,c2d,4,553.3682641999974,180711.4835986658,0.05533682641999974,,europe-west1,europe-west1-b
european_local_vol,jax,forward,10000,c2d-standard-4,c2d,4,396.164840199998,25242.017931100716,0.00396164840199998,,europe-west1,europe-west1-b
european_local_vol,jax,forward,50000,c2d-standard-4,c2d,4,1407.1593667999991,35532.57802895793,0.07035796833999997,,europe-west1,europe-west1-b
european_local_vol,jax,forward,100000,c2d-standard-4,c2d,4,2624.8455566000075,38097.47958258205,0.26248455566000073,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,10000,c2d-standard-4,c2d,4,159.2841662000012,62780.879220874645,0.001592841662000012,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,50000,c2d-standard-4,c2d,4,567.2844961999942,88139.19706060973,0.028364224809999714,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,100000,c2d-standard-4,c2d,4,1206.8939870000065,82857.31893367984,0.12068939870000066,,europe-west1,europe-west1-b
european_local_vol,cpp,none,10000,c2d-standard-4,c2d,4,53.52252280000016,186837.2318204696,0.0005352252280000016,,europe-west1,europe-west1-b
european_local_vol,cpp,none,50000,c2d-standard-4,c2d,4,267.85479199999713,186668.3049672695,0.013392739599999856,,europe-west1,europe-west1-b
european_local_vol,cpp,none,100000,c2d-standard-4,c2d,4,534.6423386000026,187040.92957145296,0.05346423386000026,,europe-west1,europe-west1-b
european_local_vol,rust,none,10000,c2d-standard-4,c2d,4,42.78775079999946,233711.74724145883,0.00042787750799999456,,europe-west1,europe-west1-b
european_local_vol,rust,none,50000,c2d-standard-4,c2d,4,213.11264599999618,234617.70541763576,0.01065563229999981,,europe-west1,europe-west1-b
european_local_vol,rust,none,100000,c2d-standard-4,c2d,4,426.10431719999724,234684.31546790403,0.042610431719999724,,europe-west1,europe-west1-b
asian,cpu,none,10000,c2d-standard-4,c2d,4,58.10490900000218,172102.49825878954,0.0005810490900000219,,europe-west1,europe-west1-b
asian,cpu,none,50000,c2d-standard-4,c2d,4,297.01444999999467,168341.9779744753,0.014850722499999733,,europe-west1,europe-west1-b
asian,cpu,none,100000,c2d-standard-4,c2d,4,593.0517373999976,168619.3525684803,0.05930517373999976,,europe-west1,europe-west1-b
asian,jax,none,10000,c2d-standard-4,c2d,4,77.2454496000023,129457.46386075408,0.000772454496000023,,europe-west1,europe-west1-b
asian,jax,none,50000,c2d-standard-4,c2d,4,199.5773283999995,250529.4584352204,0.009978866419999973,,europe-west1,europe-west1-b
asian,jax,none,100000,c2d-standard-4,c2d,4,343.80653459999735,290861.2546190993,0.03438065345999973,,europe-west1,europe-west1-b
asian,jax,forward,10000,c2d-standard-4,c2d,4,348.86289880000163,28664.555716292616,0.003488628988000016,,europe-west1,europe-west1-b
asian,jax,forward,50000,c2d-standard-4,c2d,4,542.2234058000015,92212.91346918071,0.027111170290000073,,europe-west1,europe-west1-b
asian,jax,forward,100000,c2d-standard-4,c2d,4,817.4320703999967,122334.32430791059,0.08174320703999968,,europe-west1,europe-west1-b
asian,jax,reverse,10000,c2d-standard-4,c2d,4,235.5780837999987,42448.77044033438,0.002355780837999987,,europe-west1,europe-west1-b
asian,jax,reverse,50000,c2d-standard-4,c2d,4,402.4691751999967,124233.11667323041,0.020123458759999834,,europe-west1,europe-west1-b
asian,jax,reverse,100000,c2d-standard-4,c2d,4,616.6042446000006,162178.57868440612,0.06166042446000006,,europe-west1,europe-west1-b
european,cpu,none,1000,e2-standard-4,e2,4,0.11836599999052548,8448371.99939209,1.1836599999052548e-07,,europe-west2,europe-west2-b
european,jax,none,1000,e2-standard-4,e2,4,0.959232000004325,1042500.6671957267,9.59232000004325e-07,,europe-west2,europe-west2-b
european,jax,forward,1000,e2-standard-4,e2,4,2.639795666662318,378817.1988570507,2.639795666662318e-06,,europe-west2,europe-west2-b
european,jax,reverse,1000,e2-standard-4,e2,4,3.7285613333324363,268199.95987735054,3.7285613333324363e-06,,europe-west2,europe-west2-b
european_local_vol,cpu,none,1000,e2-standard-4,e2,4,20.547342999994573,48668.09299870373,2.0547342999994572e-05,,europe-west2,europe-west2-b
